SimTicketID,SampledHistoricalTicket,ArrivalTime,CompletionTime,TotalSystemTime,Closed_Level,Level1_Minutes,Level2_Minutes,Level3_Minutes
263,TKT0262,8462.856596311454,8612.856596311454,150.0,3,7,81,62
268,TKT0357,8614.252325389989,8664.625608892797,50.37328350280768,1,6,0,0
265,TKT0419,8563.701524460635,8672.701524460635,109.0,1,109,0,0
269,TKT0226,8659.659375181542,8696.625608892797,36.96623371125497,1,32,0,0
267,TKT0477,8600.511403667268,8708.511403667268,108.0,1,108,0,0
266,TKT0010,8574.625608892797,8766.625608892797,192.0,2,84,108,0
271,TKT0425,8717.18526362545,8775.18526362545,58.0,2,20,38,0
270,TKT0164,8716.508649825453,8814.508649825453,98.0,1,98,0,0
272,TKT0306,8719.074952991323,8825.074952991323,106.0,1,106,0,0
273,TKT0241,8729.316552495024,8856.18526362545,126.86871113042616,1,119,0,0
275,TKT0209,8805.832328492741,8891.074952991323,85.24262449858179,1,66,0,0
279,TKT0481,8914.690754465018,8938.690754465018,24.0,1,24,0,0
276,TKT0059,8875.534347540943,8950.534347540943,75.0,2,11,64,0
277,TKT0379,8878.06913826766,8972.508649825453,94.4395115577936,1,91,0,0
278,TKT0379,8883.502215754135,8977.534347540943,94.03213178680744,1,91,0,0
274,TKT0105,8798.926005503112,9047.508649825453,248.58264432234137,3,67,87,79
282,TKT0111,9020.74686168787,9060.74686168787,40.0,2,25,15,0
280,TKT0327,8926.056997162656,9115.690754465018,189.63375730236294,2,100,77,0
283,TKT0218,9084.367693432565,9130.367693432565,46.0,1,46,0,0
284,TKT0027,9156.393195951834,9172.393195951834,16.0,1,16,0,0
281,TKT0414,8970.781768728137,9250.74686168787,279.96509295973374,3,82,71,119
286,TKT0453,9235.419827074204,9305.419827074204,70.0,1,70,0,0
287,TKT0331,9249.382647267857,9339.382647267857,90.0,1,90,0,0
288,TKT0189,9320.858301348968,9381.858301348968,61.0,3,25,23,13
289,TKT0455,9389.821884785239,9394.821884785239,5.0,1,5,0,0
285,TKT0317,9209.048995275833,9446.858301348968,237.8093060731353,3,98,66,65
291,TKT0069,9433.150017441058,9447.150017441058,14.0,1,14,0,0
294,TKT0481,9502.054627305157,9526.054627305157,24.0,1,24,0,0
290,TKT0313,9397.871933421511,9530.871933421511,133.0,2,59,74,0
292,TKT0293,9480.65531727853,9568.65531727853,88.0,1,88,0,0
