SimTicketID,Time,Level,State,Technician
53,1717.12984760273,1.0,In service at L1,L1-Tech-3
50,1731.0710726403106,2.0,Finished L2,L2-Tech-1
50,1731.0710726403106,,Completed,
51,1737.6653841642394,2.0,Finished L2,L2-Tech-2
51,1737.6653841642394,,Completed,
53,1742.12984760273,1.0,Finished L1,L1-Tech-3
53,1742.12984760273,2.0,Waiting for L2,
53,1742.12984760273,2.0,In service at L2,L2-Tech-1
52,1742.93967525571,1.0,Finished L1,L1-Tech-2
52,1742.93967525571,,Completed,
54,1759.1776571273351,,Arrived,
54,1759.1776571273351,1.0,Waiting for L1,
54,1759.1776571273351,1.0,In service at L1,L1-Tech-1
53,1765.12984760273,2.0,Finished L2,L2-Tech-1
53,1765.12984760273,3.0,Waiting for L3,
53,1765.12984760273,3.0,In service at L3,L3-Tech-1
55,1768.418712957217,,Arrived,
55,1768.418712957217,1.0,Waiting for L1,
55,1768.418712957217,1.0,In service at L1,L1-Tech-3
56,1772.9780996049062,,Arrived,
56,1772.9780996049062,1.0,Waiting for L1,
56,1772.9780996049062,1.0,In service at L1,L1-Tech-2
57,1776.743933783309,,Arrived,
57,1776.743933783309,1.0,Waiting for L1,
53,1778.12984760273,3.0,Finished L3,L3-Tech-1
53,1778.12984760273,,Completed,
55,1807.418712957217,1.0,Finished L1,L1-Tech-3
57,1807.418712957217,1.0,In service at L1,L1-Tech-3
55,1807.418712957217,2.0,Waiting for L2,
55,1807.418712957217,2.0,In service at L2,L2-Tech-2
55,1823.418712957217,2.0,Finished L2,L2-Tech-2
55,1823.418712957217,,Completed,
56,1825.9780996049062,1.0,Finished L1,L1-Tech-2
56,1825.9780996049062,,Completed,
58,1831.6749159111325,,Arrived,
58,1831.6749159111325,1.0,Waiting for L1,
58,1831.6749159111325,1.0,In service at L1,L1-Tech-2
59,1846.0305958716742,,Arrived,
59,1846.0305958716742,1.0,Waiting for L1,
54,1869.1776571273351,1.0,Finished L1,L1-Tech-1
59,1869.1776571273351,1.0,In service at L1,L1-Tech-1
54,1869.1776571273351,,Completed,
60,1875.9492945785971,,Arrived,
60,1875.9492945785971,1.0,Waiting for L1,
59,1877.1776571273351,1.0,Finished L1,L1-Tech-1
60,1877.1776571273351,1.0,In service at L1,L1-Tech-1
59,1877.1776571273351,2.0,Waiting for L2,
59,1877.1776571273351,2.0,In service at L2,L2-Tech-1
61,1881.9418531535787,,Arrived,
61,1881.9418531535787,1.0,Waiting for L1,
58,1888.6749159111325,1.0,Finished L1,L1-Tech-2
61,1888.6749159111325,1.0,In service at L1,L1-Tech-2
58,1888.6749159111325,,Completed,
57,1905.418712957217,1.0,Finished L1,L1-Tech-3
57,1905.418712957217,,Completed,
62,1923.284446415673,,Arrived,
62,1923.284446415673,1.0,Waiting for L1,
62,1923.284446415673,1.0,In service at L1,L1-Tech-3
63,1933.8201966876957,,Arrived,
63,1933.8201966876957,1.0,Waiting for L1,
64,1950.8128241842892,,Arrived,
64,1950.8128241842892,1.0,Waiting for L1,
65,1960.5674120181056,,Arrived,
65,1960.5674120181056,1.0,Waiting for L1,
60,1962.1776571273351,1.0,Finished L1,L1-Tech-1
63,1962.1776571273351,1.0,In service at L1,L1-Tech-1
60,1962.1776571273351,,Completed,
59,1969.1776571273351,2.0,Finished L2,L2-Tech-1
59,1969.1776571273351,,Completed,
66,1976.6813255685734,,Arrived,
66,1976.6813255685734,1.0,Waiting for L1,
61,1986.6749159111325,1.0,Finished L1,L1-Tech-2
64,1986.6749159111325,1.0,In service at L1,L1-Tech-2
61,1986.6749159111325,2.0,Waiting for L2,
61,1986.6749159111325,2.0,In service at L2,L2-Tech-2
63,1995.1776571273351,1.0,Finished L1,L1-Tech-1
65,1995.1776571273351,1.0,In service at L1,L1-Tech-1
63,1995.1776571273351,,Completed,
62,2013.284446415673,1.0,Finished L1,L1-Tech-3
66,2013.284446415673,1.0,In service at L1,L1-Tech-3
62,2013.284446415673,,Completed,
66,2018.284446415673,1.0,Finished L1,L1-Tech-3
66,2018.284446415673,,Completed,
61,2039.6749159111325,2.0,Finished L2,L2-Tech-2
61,2039.6749159111325,,Completed,
67,2048.741439639009,,Arrived,
67,2048.741439639009,1.0,Waiting for L1,
67,2048.741439639009,1.0,In service at L1,L1-Tech-3
64,2070.6749159111323,1.0,Finished L1,L1-Tech-2
